市区町村名,増減数,開設局数,前回
滋賀県,614,615,1
大津市,110,110,0
彦根市,41,41,0
長浜市,69,70,1
近江八幡市,39,39,0
草津市,41,41,0
守山市,27,27,0
栗東市,19,19,0
甲賀市,40,40,0
野洲市,25,25,0
湖南市,32,32,0
高島市,30,30,0
東近江市,52,52,0
米原市,29,29,0
蒲生郡日野町,18,18,0
蒲生郡竜王町,12,12,0
愛知郡愛荘町,12,12,0
犬上郡豊郷町,5,5,0
犬上郡甲良町,6,6,0
犬上郡多賀町,7,7,0
京都府,930,931,1
京都市北区,44,44,0
京都市上京区,24,24,0
京都市左京区,59,59,0
京都市中京区,41,41,0
京都市東山区,35,35,0
京都市下京区,41,41,0
京都市南区,50,50,0
京都市右京区,60,60,0
京都市伏見区,80,80,0
京都市山科区,37,37,0
京都市西京区,45,45,0
福知山市,47,47,0
舞鶴市,38,38,0
綾部市,19,19,0
宇治市,38,38,0
宮津市,16,16,0
亀岡市,25,26,1
城陽市,20,20,0
向日市,16,16,0
長岡京市,21,21,0
八幡市,20,20,0
京田辺市,15,15,0
京丹後市,29,29,0
南丹市,17,17,0
木津川市,27,27,0
乙訓郡大山崎町,6,6,0
久世郡久御山町,10,10,0
綴喜郡井手町,4,4,0
綴喜郡宇治田原町,9,9,0
相楽郡笠置町,2,2,0
相楽郡和束町,4,4,0
相楽郡精華町,7,7,0
相楽郡南山城村,1,1,0
船井郡京丹波町,9,9,0
与謝郡伊根町,1,1,0
与謝郡与謝野町,13,13,0
大阪府,2787,2787,0
大阪市都島区,31,31,0
大阪市福島区,49,49,0
大阪市此花区,47,47,0
大阪市西区,63,63,0
大阪市港区,30,30,0
大阪市大正区,20,20,0
大阪市天王寺区,44,44,0
大阪市浪速区,40,40,0
大阪市西淀川区,31,31,0
大阪市東淀川区,43,43,0
大阪市東成区,47,47,0
大阪市生野区,27,27,0
大阪市旭区,27,27,0
大阪市城東区,31,31,0
大阪市阿倍野区,37,37,0
大阪市住吉区,31,31,0
大阪市東住吉区,35,35,0
大阪市西成区,34,34,0
大阪市淀川区,57,57,0
大阪市鶴見区,20,20,0
大阪市住之江区,52,52,0
大阪市平野区,37,37,0
大阪市北区,133,133,0
大阪市中央区,195,195,0
堺市堺区,44,44,0
堺市中区,31,31,0
堺市東区,16,16,0
堺市西区,41,41,0
堺市南区,40,40,0
堺市北区,42,42,0
堺市美原区,10,10,0
岸和田市,56,56,0
豊中市,83,83,0
池田市,25,25,0
吹田市,79,79,0
泉大津市,27,27,0
高槻市,86,86,0
貝塚市,30,30,0
守口市,27,27,0
